Index,Image_link,Filename,Height & Weight,height_cm,weight_kg
0,https://height-weight-chart.com/410-090.html,410-090_Del_L1.jpg," 4' 10"" 100 lbs.",147.32,45.3592
1,https://height-weight-chart.com/410-100.html,410-100_Cece_L1.jpg," 4' 10"" 110 lbs.",147.32,49.89512
2,https://height-weight-chart.com/410-110.html,410-110_Kaye_L1.jpg," 4' 10"" 120 lbs.",147.32,54.43104
3,https://height-weight-chart.com/410-120.html,410-120_Firie_L1.jpg," 4' 10"" 160 lbs.",147.32,72.57472
4,https://height-weight-chart.com/410-160.html,410-160_Sarah_L1.jpg," 4' 10"" 170 lbs.",147.32,77.11064
5,https://height-weight-chart.com/410-170.html,410-170_Tiffany_L1.jpg," 4' 10"" 190 lbs.",147.32,86.18248
6,https://height-weight-chart.com/410-190.html,410-190_TFergusu_L1.jpg," 4' 10"" 90 lbs.",147.32,40.82328
7,https://height-weight-chart.com/411-090.html,410-90_Katherine_L1.jpg," 4' 11"" 100 lbs.",149.86,45.3592
8,https://height-weight-chart.com/411-100.html,411-100_Beth_L1.jpg," 4' 11"" 110 lbs.",149.86,49.89512
9,https://height-weight-chart.com/411-110.html,411-110_Christina_L1.jpg," 4' 11"" 120 lbs.",149.86,54.43104
10,https://height-weight-chart.com/411-120.html,411-120_saidy_L1.jpg," 4' 11"" 130 lbs.",149.86,58.96696
11,https://height-weight-chart.com/411-130.html,411-130_Joanna_L1.jpg," 4' 11"" 150 lbs.",149.86,68.0388
12,https://height-weight-chart.com/411-150.html,411-150_Elana_L1.jpg," 4' 11"" 170 lbs.",149.86,77.11064
13,https://height-weight-chart.com/411-170.html,411-170_Cristen_L1.jpg," 4' 11"" 190 lbs.",149.86,86.18248
14,https://height-weight-chart.com/411-190.html,411-190_Deb_L1.jpg," 4' 11"" 210 lbs.",149.86,95.25432
15,https://height-weight-chart.com/411-210.html,411-210_candice_L1.jpg," 4' 11"" 230 lbs.",149.86,104.32616
16,https://height-weight-chart.com/411-230.html,411-230_Shanta_L1.jpg," 4' 11"" 90 lbs.",149.86,40.82328
17,https://height-weight-chart.com/500-090.html,500-090_Amy_L1.jpg," 5' 0"" 100 lbs.",152.4,45.3592
18,https://height-weight-chart.com/500-100.html,500-100_Briana_L1.jpg," 5' 0"" 110 lbs.",152.4,49.89512
